"type","date","metrics","value"
"PM2.5","20181226","27",5.47826086956522
"AQI","20181226","28",47.1363636363636
"PM10","20181226","28",55.5454545454545
"PM2.5","20181226","28",24.2272727272727
"AQI","20181226","29",44.1666666666667
"PM10","20181226","29",48.875
"PM2.5","20181226","29",18.125
"AQI","20181226","30",37.4583333333333
"PM10","20181226","30",42.5454545454545
"PM2.5","20181226","30",15.4166666666667
"AQI","20181226","31",30.25
"PM10","20181226","31",30
"PM2.5","20181226","31",11.0869565217391
"AQI","20181226","32",27.6666666666667
"PM10","20181226","32",27.5833333333333
"PM2.5","20181226","32",10.875
"AQI","20181226","33",25.0833333333333
"PM10","20181226","33",24.95
"PM2.5","20181226","33",10.25
"AQI","20181226","34",36.7083333333333
"PM10","20181226","34",39.6666666666667
"PM2.5","20181226","34",11.2083333333333
"AQI","20181226","35",32
"PM10","20181226","35",29.0833333333333
"PM2.5","20181226","35",8.41666666666667
"AQI","20181225","1",65.4166666666667
"PM10","20181225","1",82.5909090909091
"PM2.5","20181225","1",34.8260869565217
"AQI","20181225","2",69.304347826087
"PM10","20181225","2",75.1304347826087
"PM2.5","20181225","2",35.1304347826087
"AQI","20181225","3",54.625
"PM10","20181225","3",63.9166666666667
"PM2.5","20181225","3",27.7727272727273
"AQI","20181225","4",67.7083333333333
"PM10","20181225","4",76.625
"PM2.5","20181225","4",32.5833333333333
"AQI","20181225","5",67.875
"PM10","20181225","5",86.5
"PM2.5","20181225","5",31.1666666666667
"AQI","20181225","6",75.4583333333333
"PM10","20181225","6",91.1666666666667
"PM2.5","20181225","6",40.5416666666667
"AQI","20181225","7",54.25
"PM10","20181225","7",63.2916666666667
"PM2.5","20181225","7",20.5
"AQI","20181225","8",78.4545454545455
"PM10","20181225","8",111.857142857143
"PM2.5","20181225","8",23.3333333333333
"AQI","20181225","10",62.0833333333333
"PM10","20181225","10",77.5
"PM2.5","20181225","10",33.0416666666667
"AQI","20181225","11",41.7083333333333
"PM10","20181225","11",44.8333333333333
"PM2.5","20181225","11",19.2916666666667
"AQI","20181225","12",40.3913043478261
"PM10","20181225","12",41.5652173913044
"PM2.5","20181225","12",18.7391304347826
"AQI","20181225","13",58.3333333333333
"PM10","20181225","13",73.4166666666667
"PM2.5","20181225","13",29.4583333333333
"AQI","20181225","14",78.0833333333333
"PM10","20181225","14",100.166666666667
"PM2.5","20181225","14",40.5833333333333
"AQI","20181225","15",79.3333333333333
"PM10","20181225","15",89.7916666666667
"PM2.5","20181225","15",44.625
"AQI","20181225","16",79.875
"PM10","20181225","16",100.416666666667
"PM2.5","20181225","16",39.7083333333333
"AQI","20181225","17",61.5
"PM10","20181225","17",68.1666666666667
"PM2.5","20181225","17",35.4166666666667
"AQI","20181225","18",49.2608695652174
"PM10","20181225","18",43.5833333333333
"PM2.5","20181225","18",25.6521739130435
"AQI","20181225","19",50.3913043478261
"PM10","20181225","19",59.0434782608696
"PM2.5","20181225","19",18
"AQI","20181225","20",51.1739130434783
"PM10","20181225","20",46.0454545454545
"PM2.5","20181225","20",32.9130434782609
"AQI","20181225","21",47.4583333333333
"PM10","20181225","21",51.7083333333333
"PM2.5","20181225","21",25.625
"AQI","20181225","22",57.4166666666667
"PM10","20181225","22",64.8333333333333
"PM2.5","20181225","22",32.2272727272727
"AQI","20181225","23",68.5833333333333
"PM10","20181225","23",76.0416666666667
"PM2.5","20181225","23",41.4166666666667
"AQI","20181225","24",69.0416666666667
"PM10","20181225","24",89.7916666666667
"PM2.5","20181225","24",20.5
"AQI","20181225","25",55
"PM10","20181225","25",85
"PM2.5","20181225","25",29.2105263157895
"AQI","20181225","26",48.7826086956522
"PM10","20181225","26",49.5652173913044
"PM2.5","20181225","26",25.9565217391304
"AQI","20181225","27",65.9166666666667
"PM10","20181225","27",64.5217391304348
"PM2.5","20181225","27",37.1666666666667
"AQI","20181225","28",130.25
"PM10","20181225","28",168.583333333333
"PM2.5","20181225","28",74.625
"AQI","20181225","29",115.666666666667
"PM10","20181225","29",137.541666666667
"PM2.5","20181225","29",73.7916666666667
"AQI","20181225","30",93.3333333333333
"PM10","20181225","30",122.375
"PM2.5","20181225","30",65.2916666666667
"AQI","20181225","31",60.1666666666667
"PM10","20181225","31",63.1739130434783
"PM2.5","20181225","31",34.2916666666667
"AQI","20181225","32",65.625
"PM10","20181225","32",69.5
"PM2.5","20181225","32",35.0416666666667
"AQI","20181225","33",59.4347826086956
"PM10","20181225","33",68.695652173913
"PM2.5","20181225","33",30.7391304347826
"AQI","20181225","34",75.85
"PM10","20181225","34",98.1
"PM2.5","20181225","34",39
"AQI","20181225","35",76.25
"PM10","20181225","35",98.6666666666667
"PM2.5","20181225","35",37.9166666666667
"AQI","20181224","1",84.75
"PM10","20181224","1",98.5416666666667
"PM2.5","20181224","1",56.9583333333333
"AQI","20181224","2",89.4782608695652
"PM10","20181224","2",100.130434782609
"PM2.5","20181224","2",61.7826086956522
"AQI","20181224","3",78.1666666666667
"PM10","20181224","3",92.2083333333333
"PM2.5","20181224","3",51.5
"AQI","20181224","4",92.2083333333333
"PM10","20181224","4",110.916666666667
"PM2.5","20181224","4",65.0416666666667
"AQI","20181224","5",87.375
"PM10","20181224","5",116.083333333333
"PM2.5","20181224","5",50.75
"AQI","20181224","6",88.2083333333333
"PM10","20181224","6",108.875
"PM2.5","20181224","6",58.2916666666667
"AQI","20181224","7",74.9166666666667
"PM10","20181224","7",95.75
"PM2.5","20181224","7",46.1363636363636
"AQI","20181224","8",72.1666666666667
"PM10","20181224","8",93.8333333333333
"PM2.5","20181224","8",32.5833333333333
"AQI","20181224","10",94.5416666666667
"PM10","20181224","10",115.875
"PM2.5","20181224","10",62.625
"AQI","20181224","11",66.1666666666667
"PM10","20181224","11",70.75
"PM2.5","20181224","11",42.125
"AQI","20181224","12",70.2173913043478
"PM10","20181224","12",72.0434782608696
"PM2.5","20181224","12",46.1739130434783
"AQI","20181224","13",82.3333333333333
"PM10","20181224","13",106.541666666667
"PM2.5","20181224","13",51.375
"AQI","20181224","14",101.333333333333
"PM10","20181224","14",129.375
"PM2.5","20181224","14",72.2916666666667
"AQI","20181224","15",100.666666666667
"PM10","20181224","15",117.791666666667
